1519.200000,-4.6880E-008,1519.200000,-4.6880E-008,1519.200000,-4.6880E-008
1519.250000,3.9580E-008,1519.250000,3.9580E-008,1519.250000,3.9580E-008
1519.300000,-7.5470E-009,1519.300000,-7.5470E-009,1519.300000,-7.5470E-009
1519.350000,-2.7530E-008,1519.350000,-2.7530E-008,1519.350000,-2.7530E-008
1519.400000,5.9240E-008,1519.400000,5.9240E-008,1519.400000,5.9240E-008
1519.450000,-9.6820E-009,1519.450000,-9.6820E-009,1519.450000,-9.6820E-009
1519.500000,2.7090E-008,1519.500000,2.7090E-008,1519.500000,2.7090E-008
1519.550000,3.3570E-008,1519.550000,3.3570E-008,1519.550000,3.3570E-008
1519.600000,-2.3620E-008,1519.600000,-2.3620E-008,1519.600000,-2.3620E-008
1519.650000,-1.1210E-009,1519.650000,-1.1210E-009,1519.650000,-1.1210E-009
1519.700000,3.4280E-008,1519.700000,3.4280E-008,1519.700000,3.4280E-008
1519.750000,3.7750E-008,1519.750000,3.7750E-008,1519.750000,3.7750E-008
1519.800000,8.4300E-009,1519.800000,8.4300E-009,1519.800000,8.4300E-009
1519.850000,7.9610E-009,1519.850000,7.9610E-009,1519.850000,7.9610E-009
1519.900000,3.6350E-008,1519.900000,3.6350E-008,1519.900000,3.6350E-008
1519.950000,3.9210E-008,1519.950000,3.9210E-008,1519.950000,3.9210E-008
1520.000000,1.0540E-008,1520.000000,1.0540E-008,1520.000000,1.0540E-008
1520.050000,4.5970E-008,1520.050000,4.5970E-008,1520.050000,4.5970E-008
1520.100000,3.4080E-008,1520.100000,3.4080E-008,1520.100000,3.4080E-008
1520.150000,3.5270E-008,1520.150000,3.5270E-008,1520.150000,3.5270E-008
1520.200000,4.1590E-008,1520.200000,4.1590E-008,1520.200000,4.1590E-008
1520.250000,1.4790E-008,1520.250000,1.4790E-008,1520.250000,1.4790E-008
1520.300000,2.5470E-008,1520.300000,2.5470E-008,1520.300000,2.5470E-008
1520.350000,5.0190E-008,1520.350000,5.0190E-008,1520.350000,5.0190E-008
1520.400000,1.7430E-008,1520.400000,1.7430E-008,1520.400000,1.7430E-008
1520.450000,-1.1570E-008,1520.450000,-1.1570E-008,1520.450000,-1.1570E-008
1520.500000,1.6640E-008,1520.500000,1.6640E-008,1520.500000,1.6640E-008
1520.550000,-1.7640E-008,1520.550000,-1.7640E-008,1520.550000,-1.7640E-008
1520.600000,-1.1980E-008,1520.600000,-1.1980E-008,1520.600000,-1.1980E-008
1520.650000,9.0400E-009,1520.650000,9.0400E-009,1520.650000,9.0400E-009
1520.700000,1.7730E-008,1520.700000,1.7730E-008,1520.700000,1.7730E-008
1520.750000,7.4170E-009,1520.750000,7.4170E-009,1520.750000,7.4170E-009
1520.800000,2.8360E-008,1520.800000,2.8360E-008,1520.800000,2.8360E-008
1520.850000,3.3440E-008,1520.850000,3.3440E-008,1520.850000,3.3440E-008
1520.900000,3.3070E-008,1520.900000,3.3070E-008,1520.900000,3.3070E-008
1520.950000,7.0140E-008,1520.950000,7.0140E-008,1520.950000,7.0140E-008
1521.000000,-3.1190E-008,1521.000000,-3.1190E-008,1521.000000,-3.1190E-008
1521.050000,-2.5280E-008,1521.050000,-2.5280E-008,1521.050000,-2.5280E-008
1521.100000,3.2960E-008,1521.100000,3.2960E-008,1521.100000,3.2960E-008
1521.150000,3.5560E-008,1521.150000,3.5560E-008,1521.150000,3.5560E-008
1521.200000,-2.0440E-008,1521.200000,-2.0440E-008,1521.200000,-2.0440E-008
1521.250000,-1.6640E-008,1521.250000,-1.6640E-008,1521.250000,-1.6640E-008
1521.300000,-1.2630E-008,1521.300000,-1.2630E-008,1521.300000,-1.2630E-008
1521.350000,2.5040E-008,1521.350000,2.5040E-008,1521.350000,2.5040E-008
